label_id	distances	side	side2	absolute
24983	-15.8865143278311	FALSE	TRUE	15.8865143278311
24984	-12.960768080488	FALSE	TRUE	12.960768080488
24985	-34.0856918635162	FALSE	TRUE	34.0856918635162
24986	-28.3314276094372	FALSE	TRUE	28.3314276094372
24987	-35.2526202046273	FALSE	TRUE	35.2526202046273
24988	-32.4283858016274	FALSE	TRUE	32.4283858016274
24989	-31.6845329509745	FALSE	TRUE	31.6845329509745
24990	-32.6153094130168	FALSE	TRUE	32.6153094130168
24991	-35.7879146960438	FALSE	TRUE	35.7879146960438
24992	-38.0132550838544	FALSE	TRUE	38.0132550838544
24993	-38.8516829553058	FALSE	TRUE	38.8516829553058
24994	45.7356053406869	TRUE	FALSE	45.7356053406869
24995	37.3735038882988	TRUE	FALSE	37.3735038882988
24996	21.586116711456	TRUE	FALSE	21.586116711456
24997	19.8129418733156	TRUE	FALSE	19.8129418733156
24998	22.5471875010702	TRUE	FALSE	22.5471875010702
24999	21.9634189328532	TRUE	FALSE	21.9634189328532
25000	20.2794375797803	TRUE	FALSE	20.2794375797803
25001	21.1569578773206	TRUE	FALSE	21.1569578773206
25002	21.4887510461658	TRUE	FALSE	21.4887510461658
25003	16.2363822831023	TRUE	FALSE	16.2363822831023
25004	15.9855682436698	TRUE	FALSE	15.9855682436698
25005	12.3690468466518	TRUE	FALSE	12.3690468466518
25006	14.0587714836615	TRUE	FALSE	14.0587714836615
25007	9.15350299127439	TRUE	FALSE	9.15350299127439
25008	-16.8262073558932	FALSE	TRUE	16.8262073558932
25009	-23.2134042514869	FALSE	TRUE	23.2134042514869
25010	-22.5444334520519	FALSE	TRUE	22.5444334520519
25011	-28.2788935669097	FALSE	TRUE	28.2788935669097
25012	43.0020567101803	TRUE	FALSE	43.0020567101803
25013	33.5787248108884	TRUE	FALSE	33.5787248108884
25014	9.89049378122621	TRUE	FALSE	9.89049378122621
25015	2.24101902983282	TRUE	FALSE	2.24101902983282
25016	-0.560607734115461	FALSE	TRUE	0.560607734115461
25017	-9.17426783105556	FALSE	TRUE	9.17426783105556
25018	-12.935776106132	FALSE	TRUE	12.935776106132
25019	-9.0946023039083	FALSE	TRUE	9.0946023039083
25020	-14.3851727015658	FALSE	TRUE	14.3851727015658
25021	-19.1896241788119	FALSE	TRUE	19.1896241788119
25022	53.1852640552395	TRUE	FALSE	53.1852640552395
25023	9.78717171160315	TRUE	FALSE	9.78717171160315
25024	11.871484779171	TRUE	FALSE	11.871484779171
25025	11.8384478998908	TRUE	FALSE	11.8384478998908
25026	10.1453783843978	TRUE	FALSE	10.1453783843978
25027	7.73506223377655	TRUE	FALSE	7.73506223377655
25028	6.26448851779856	TRUE	FALSE	6.26448851779856
25029	6.42775449425055	TRUE	FALSE	6.42775449425055
