label_id	type	type_color
10879.0	forgut_epithelium	255-188-189-34
10885.0	forgut_epithelium	255-188-189-34
10886.0	foregut_muscles	255-255-187-120
10902.0	forgut_epithelium	255-188-189-34
10904.0	forgut_epithelium	255-188-189-34
10905.0	forgut_epithelium	255-188-189-34
10906.0	forgut_epithelium	255-188-189-34
10908.0	forgut_epithelium	255-188-189-34
10910.0	foregut_muscles	255-255-187-120
10915.0	foregut_muscles	255-255-187-120
11024.0	foregut_muscles	255-255-187-120
11041.0	foregut_muscles	255-255-187-120
11046.0	forgut_epithelium	255-188-189-34
11059.0	foregut_muscles	255-255-187-120
11069.0	foregut_muscles	255-255-187-120
11073.0	forgut_epithelium	255-188-189-34
11089.0	forgut_epithelium	255-188-189-34
11092.0	forgut_epithelium	255-188-189-34
11111.0	forgut_epithelium	255-188-189-34
11112.0	forgut_epithelium	255-188-189-34
11114.0	forgut_epithelium	255-188-189-34
11138.0	foregut_muscles	255-255-187-120
11156.0	foregut_muscles	255-255-187-120
11244.0	foregut_muscles	255-255-187-120
11245.0	foregut_muscles	255-255-187-120
11258.0	foregut_muscles	255-255-187-120
11260.0	foregut_muscles	255-255-187-120
11288.0	forgut_epithelium	255-188-189-34
11294.0	foregut_muscles	255-255-187-120
11304.0	foregut_muscles	255-255-187-120
11306.0	forgut_epithelium	255-188-189-34
11307.0	foregut_neurons	255-23-190-207
11321.0	foregut_muscles	255-255-187-120
11324.0	foregut_neurons	255-23-190-207
11326.0	forgut_epithelium	255-188-189-34
11327.0	forgut_epithelium	255-188-189-34
11328.0	foregut_muscles	255-255-187-120
11345.0	forgut_epithelium	255-188-189-34
11480.0	foregut_muscles	255-255-187-120
11481.0	foregut_muscles	255-255-187-120
11490.0	foregut_muscles	255-255-187-120
11503.0	forgut_epithelium	255-188-189-34
11508.0	forgut_epithelium	255-188-189-34
11510.0	foregut_muscles	255-255-187-120
11520.0	forgut_epithelium	255-188-189-34
11521.0	forgut_epithelium	255-188-189-34
11526.0	forgut_epithelium	255-188-189-34
11527.0	forgut_epithelium	255-188-189-34
11532.0	forgut_epithelium	255-188-189-34
11533.0	forgut_epithelium	255-188-189-34
11536.0	foregut_muscles	255-255-187-120
11544.0	foregut_muscles	255-255-187-120
11546.0	foregut_muscles	255-255-187-120
11547.0	foregut_muscles	255-255-187-120
11549.0	foregut_muscles	255-255-187-120
11641.0	foregut_muscles	255-255-187-120
11655.0	forgut_epithelium	255-188-189-34
11673.0	forgut_epithelium	255-188-189-34
11676.0	foregut_muscles	255-255-187-120
11677.0	foregut_muscles	255-255-187-120
11685.0	forgut_epithelium	255-188-189-34
11686.0	forgut_epithelium	255-188-189-34
11687.0	forgut_epithelium	255-188-189-34
11695.0	foregut_neurons	255-23-190-207
11697.0	foregut_neurons	255-23-190-207
11698.0	forgut_epithelium	255-188-189-34
11700.0	foregut_neurons	255-23-190-207
11701.0	foregut_muscles	255-255-187-120
11702.0	foregut_muscles	255-255-187-120
11703.0	foregut_muscles	255-255-187-120
11711.0	foregut_muscles	255-255-187-120
11717.0	foregut_muscles	255-255-187-120
11719.0	foregut_neurons	255-23-190-207
11723.0	forgut_epithelium	255-188-189-34
11726.0	foregut_muscles	255-255-187-120
11738.0	forgut_epithelium	255-188-189-34
11753.0	foregut_muscles	255-255-187-120
11754.0	foregut_muscles	255-255-187-120
