label_id	morphocontext_clust_color	gene_clust_color	manually_segm_color
833.0	255-44-160-44	255-158-218-229	0-0-0-0
834.0	255-44-160-44	255-140-86-75	255-188-189-34
835.0	255-44-160-44	255-140-86-75	255-188-189-34
836.0	255-152-223-138	255-158-218-229	0-0-0-0
846.0	255-152-223-138	255-152-223-138	255-44-160-44
857.0	255-44-160-44	255-140-86-75	255-188-189-34
860.0	255-44-160-44	255-140-86-75	255-188-189-34
861.0	255-44-160-44	255-140-86-75	255-188-189-34
863.0	255-152-223-138	255-152-223-138	255-44-160-44
870.0	255-152-223-138	255-44-160-44	255-44-160-44
874.0	255-44-160-44	255-44-160-44	255-44-160-44
875.0	255-44-160-44	255-44-160-44	255-44-160-44
878.0	0-0-0-0	0-0-0-0	0-0-0-0
879.0	0-0-0-0	0-0-0-0	0-0-0-0
907.0	0-0-0-0	255-219-219-141	255-219-219-141
910.0	0-0-0-0	255-158-218-229	255-219-219-141
913.0	255-152-223-138	255-44-160-44	255-152-223-138
916.0	255-44-160-44	255-140-86-75	255-188-189-34
921.0	255-152-223-138	255-140-86-75	255-158-218-229
923.0	255-152-223-138	255-140-86-75	255-158-218-229
924.0	255-152-223-138	255-158-218-229	0-0-0-0
927.0	255-44-160-44	255-140-86-75	255-188-189-34
928.0	255-44-160-44	255-140-86-75	255-188-189-34
933.0	255-44-160-44	255-140-86-75	0-0-0-0
935.0	255-152-223-138	255-158-218-229	0-0-0-0
936.0	255-152-223-138	255-140-86-75	0-0-0-0
939.0	255-152-223-138	255-152-223-138	255-44-160-44
942.0	255-44-160-44	255-152-223-138	255-44-160-44
944.0	255-152-223-138	255-44-160-44	255-44-160-44
946.0	255-152-223-138	255-158-218-229	0-0-0-0
947.0	255-152-223-138	255-158-218-229	255-152-223-138
949.0	255-152-223-138	255-152-223-138	255-152-223-138
950.0	255-44-160-44	255-44-160-44	255-44-160-44
957.0	255-44-160-44	255-140-86-75	255-44-160-44
958.0	255-44-160-44	255-140-86-75	0-0-0-0
961.0	255-152-223-138	255-140-86-75	0-0-0-0
962.0	255-152-223-138	255-152-223-138	0-0-0-0
969.0	255-44-160-44	255-140-86-75	255-188-189-34
970.0	255-152-223-138	255-140-86-75	255-158-218-229
